Go_Term,Name
GO:0006401,RNA catabolic process
GO:0034427,"nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5'"
GO:0034473,U1 snRNA 3'-end processing
GO:0034475,U4 snRNA 3'-end processing
GO:0034476,U5 snRNA 3'-end processing
GO:0043928,exonucleolytic catabolism of deadenylated mRNA
GO:0071028,nuclear mRNA surveillance
GO:0071035,nuclear polyadenylation-dependent rRNA catabolic process
GO:0071038,nuclear polyadenylation-dependent tRNA catabolic process
GO:0071042,nuclear polyadenylation-dependent mRNA catabolic process
GO:0019433,triglyceride catabolic process
GO:0030177,positive regulation of Wnt signaling pathway
GO:0071880,adenylate cyclase-activating adrenergic receptor signaling pathway
GO:0070180,large ribosomal subunit rRNA binding
GO:0004111,creatine kinase activity
GO:0016772,"transferase activity, transferring phosphorus-containing groups"
GO:0046314,phosphocreatine biosynthetic process
GO:0032509,endosome transport via multivesicular body sorting pathway
GO:0045324,late endosome to vacuole transport
GO:0015075,monoatomic ion transmembrane transporter activity
GO:0140300,serine import into mitochondrion
GO:0001732,formation of cytoplasmic translation initiation complex
GO:0002183,cytoplasmic translational initiation
GO:0070059,intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress
GO:0004069,L-aspartate:2-oxoglutarate aminotransferase activity
GO:0006532,aspartate biosynthetic process
GO:0070125,mitochondrial translational elongation
GO:0008242,omega peptidase activity
GO:0034722,gamma-glutamyl-peptidase activity
GO:0046900,tetrahydrofolylpolyglutamate metabolic process
GO:0017150,tRNA dihydrouridine synthase activity
GO:0102262,tRNA-dihydrouridine16 synthase activity
GO:0102263,tRNA-dihydrouridine17 synthase activity
GO:0002943,tRNA dihydrouridine synthesis
GO:0006897,endocytosis
GO:0003690,double-stranded DNA binding
GO:0006390,mitochondrial transcription
GO:0061668,mitochondrial ribosome assembly
GO:0000107,imidazoleglycerol-phosphate synthase activity
GO:0000105,histidine biosynthetic process
GO:0008652,amino acid biosynthetic process
GO:0005385,zinc ion transmembrane transporter activity
GO:0046873,metal ion transmembrane transporter activity
GO:0006829,zinc ion transport
GO:0030001,metal ion transport
GO:0071577,zinc ion transmembrane transport
GO:0003254,regulation of membrane depolarization
GO:0050769,positive regulation of neurogenesis
GO:1902042,negative regulation of extrinsic apoptotic signaling pathway via death domain receptors
GO:0017111,ribonucleoside triphosphate phosphatase activity
GO:0001822,kidney development
GO:0004368,glycerol-3-phosphate dehydrogenase (quinone) activity
GO:0006072,glycerol-3-phosphate metabolic process
GO:0006796,phosphate-containing compound metabolic process
GO:0019637,organophosphate metabolic process
GO:0042776,proton motive force-driven mitochondrial ATP synthesis
GO:0047837,D-xylose 1-dehydrogenase (NADP+) activity
GO:0042843,D-xylose catabolic process
GO:0006120,"mitochondrial electron transport, NADH to ubiquinone"
GO:0005375,copper ion transmembrane transporter activity
GO:0006825,copper ion transport
GO:0035434,copper ion transmembrane transport
GO:0008802,betaine-aldehyde dehydrogenase activity
GO:0016620,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"
GO:0019145,aminobutyraldehyde dehydrogenase activity
GO:0047105,4-trimethylammoniobutyraldehyde dehydrogenase activity
GO:0051225,spindle assembly
GO:0004788,thiamine diphosphokinase activity
GO:0030975,thiamine binding
GO:0044715,8-oxo-dGDP phosphatase activity
GO:0006772,thiamine metabolic process
GO:0009229,thiamine diphosphate biosynthetic process
GO:0042723,thiamine-containing compound metabolic process
GO:0008092,cytoskeletal protein binding
GO:0030171,voltage-gated proton channel activity
GO:0061575,cyclin-dependent protein serine/threonine kinase activator activity
GO:0008308,voltage-gated monoatomic anion channel activity
GO:0010427,abscisic acid binding
GO:0009737,response to abscisic acid
GO:0051452,intracellular pH reduction
GO:0046316,gluconokinase activity
GO:0046177,D-gluconate catabolic process
GO:0015215,nucleotide transmembrane transporter activity
GO:0051503,adenine nucleotide transport
GO:1901679,nucleotide transmembrane transport
GO:0000460,maturation of 5.8S rRNA
GO:0000470,maturation of LSU-rRNA
GO:0051724,NAD transmembrane transporter activity
GO:0035352,NAD transmembrane transport
GO:0097153,cysteine-type endopeptidase activity involved in apoptotic process
GO:0043525,positive regulation of neuron apoptotic process
GO:0043248,proteasome assembly
GO:0004826,phenylalanine-tRNA ligase activity
GO:0006432,phenylalanyl-tRNA aminoacylation
GO:0043039,tRNA aminoacylation
GO:0120053,"ribitol beta-1,4-xylosyltransferase activity"
GO:0007548,sex differentiation
GO:0035194,regulatory ncRNA-mediated post-transcriptional gene silencing
GO:0032574,5'-3' RNA helicase activity
GO:0042171,lysophosphatidic acid acyltransferase activity
GO:0052689,carboxylic ester hydrolase activity
GO:0006654,phosphatidic acid biosynthetic process
GO:0035965,cardiolipin acyl-chain remodeling
GO:0004540,RNA nuclease activity
GO:0036498,IRE1-mediated unfolded protein response
GO:0006892,post-Golgi vesicle-mediated transport
GO:0061077,chaperone-mediated protein folding
GO:1901981,phosphatidylinositol phosphate binding
GO:0016050,vesicle organization
GO:0004427,inorganic diphosphate phosphatase activity
GO:0009966,regulation of signal transduction
GO:1901006,ubiquinone-6 biosynthetic process
GO:0016018,cyclosporin A binding
GO:0003873,6-phosphofructo-2-kinase activity
GO:0004331,"fructose-2,6-bisphosphate 2-phosphatase activity"
GO:0006000,fructose metabolic process
GO:0006003,"fructose 2,6-bisphosphate metabolic process"
GO:0046835,carbohydrate phosphorylation
GO:0043531,ADP binding
GO:0005222,intracellularly cAMP-activated cation channel activity
GO:0005223,intracellularly cGMP-activated cation channel activity
GO:0030553,cGMP binding
GO:0008333,endosome to lysosome transport
GO:0016079,synaptic vesicle exocytosis
GO:0032418,lysosome localization
GO:2000300,regulation of synaptic vesicle exocytosis
GO:0034038,deoxyhypusine synthase activity
GO:0000179,"rRNA (adenine-N6,N6-)-dimethyltransferase activity"
GO:0008649,rRNA methyltransferase activity
GO:0034246,mitochondrial transcription factor activity
GO:0000154,rRNA modification
GO:0006391,transcription initiation at mitochondrial promoter
GO:0031167,rRNA methylation
GO:0101006,protein histidine phosphatase activity
GO:0001708,cell fate specification
GO:0007507,heart development
GO:0030515,snoRNA binding
GO:0034511,U3 snoRNA binding
GO:0000175,3'-5'-RNA exonuclease activity
GO:0048511,rhythmic process
GO:0034975,protein folding in endoplasmic reticulum
GO:0008277,regulation of G protein-coupled receptor signaling pathway
GO:0106310,protein serine kinase activity
GO:0004377,"GDP-Man:Man3GlcNAc2-PP-Dol alpha-1,2-mannosyltransferase activity"
GO:0006490,oligosaccharide-lipid intermediate biosynthetic process
GO:0017040,N-acylsphingosine amidohydrolase activity
GO:0017064,fatty acid amide hydrolase activity
GO:0006665,sphingolipid metabolic process
GO:0007596,blood coagulation
GO:0033209,tumor necrosis factor-mediated signaling pathway
GO:0043122,regulation of canonical NF-kappaB signal transduction
GO:0015078,proton transmembrane transporter activity
GO:0042132,"fructose 1,6-bisphosphate 1-phosphatase activity"
GO:0042578,phosphoric ester hydrolase activity
GO:0005986,sucrose biosynthetic process
GO:0006002,fructose 6-phosphate metabolic process
GO:0030388,"fructose 1,6-bisphosphate metabolic process"
GO:0080025,"phosphatidylinositol-3,5-bisphosphate binding"
GO:0034497,protein localization to phagophore assembly site
GO:0044804,nucleophagy
GO:0061723,glycophagy
GO:0090307,mitotic spindle assembly
GO:0006626,protein targeting to mitochondrion
GO:0008353,RNA polymerase II CTD heptapeptide repeat kinase activity
GO:0030332,cyclin binding
GO:0032968,positive regulation of transcription elongation by RNA polymerase II
GO:0046922,peptide-O-fucosyltransferase activity
GO:0006004,fucose metabolic process
GO:0007219,Notch signaling pathway
GO:0036066,protein O-linked fucosylation
GO:0004715,non-membrane spanning protein tyrosine kinase activity
GO:0001501,skeletal system development
GO:0047536,2-aminoadipate transaminase activity
GO:0009888,tissue development
GO:0034446,substrate adhesion-dependent cell spreading
GO:0003921,GMP synthase activity
GO:0003922,GMP synthase (glutamine-hydrolyzing) activity
GO:0006177,GMP biosynthetic process
GO:0046037,GMP metabolic process
GO:0005337,nucleoside transmembrane transporter activity
GO:0008504,monoamine transmembrane transporter activity
GO:0015858,nucleoside transport
GO:1901642,nucleoside transmembrane transport
GO:0047617,fatty acyl-CoA hydrolase activity
GO:0006637,acyl-CoA metabolic process
GO:0030970,"retrograde protein transport, ER to cytosol"
GO:1903358,regulation of Golgi organization
GO:0090482,vitamin transmembrane transporter activity
GO:0035461,vitamin transmembrane transport
GO:0051180,vitamin transport
GO:0071356,cellular response to tumor necrosis factor
GO:0008061,chitin binding
GO:1902975,mitotic DNA replication initiation
GO:0016614,"oxidoreductase activity, acting on CH-OH group of donors"
GO:0047545,2-hydroxyglutarate dehydrogenase activity
GO:0042799,histone H4K20 methyltransferase activity
GO:0045814,"negative regulation of gene expression, epigenetic"
GO:0032482,Rab protein signal transduction
GO:0007218,neuropeptide signaling pathway
GO:0046983,protein dimerization activity
GO:0009952,anterior/posterior pattern specification
GO:0050767,regulation of neurogenesis
GO:0052650,NADP-retinol dehydrogenase activity
GO:0042574,retinal metabolic process
GO:0098808,mRNA cap binding
GO:0002191,cap-dependent translational initiation
GO:0016667,"oxidoreductase activity, acting on a sulfur group of donors"
GO:0016671,"oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor"
GO:0005516,calmodulin binding
GO:0007339,binding of sperm to zona pellucida
GO:0003979,UDP-glucose 6-dehydrogenase activity
GO:0006065,UDP-glucuronate biosynthetic process
GO:0031087,deadenylation-independent decapping of nuclear-transcribed mRNA
GO:0033962,P-body assembly
GO:0055056,D-glucose transmembrane transporter activity
GO:0046323,glucose import
GO:0070837,dehydroascorbic acid transport
GO:0015149,hexose transmembrane transporter activity
GO:0008645,hexose transmembrane transport
GO:0015749,monosaccharide transmembrane transport
GO:0048026,"positive regulation of mRNA splicing, via spliceosome"
GO:0007399,nervous system development
GO:0005543,phospholipid binding
GO:0032051,clathrin light chain binding
GO:0035615,clathrin adaptor activity
GO:0043325,"phosphatidylinositol-3,4-bisphosphate binding"
GO:0007015,actin filament organization
GO:0048268,clathrin coat assembly
GO:0044727,epigenetic programing of male pronucleus
GO:1901537,positive regulation of DNA demethylation
GO:1902110,positive regulation of mitochondrial membrane permeability involved in apoptotic process
GO:0006388,"tRNA splicing, via endonucleolytic cleavage and ligation"
GO:0043136,glycerol-3-phosphatase activity
GO:0006114,glycerol biosynthetic process
GO:0004691,cAMP-dependent protein kinase activity
GO:0000266,mitochondrial fission
GO:0016559,peroxisome fission
GO:0043653,mitochondrial fragmentation involved in apoptotic process
GO:0005164,tumor necrosis factor receptor binding
GO:0051382,kinetochore assembly
GO:0023052,signaling
GO:0051642,centrosome localization
GO:0004775,succinate-CoA ligase (ADP-forming) activity
GO:0004776,succinate-CoA ligase (GDP-forming) activity
GO:0035438,cyclic-di-GMP binding
GO:0061507,"2',3'-cyclic GMP-AMP binding"
GO:0002218,activation of innate immune response
GO:0016239,positive regulation of macroautophagy
GO:0032481,positive regulation of type I interferon production
GO:0045087,innate immune response
GO:0051607,defense response to virus
GO:0061709,reticulophagy
GO:0004430,1-phosphatidylinositol 4-kinase activity
GO:0046854,phosphatidylinositol phosphate biosynthetic process
GO:0004084,branched-chain-amino-acid transaminase activity
GO:0050048,L-leucine:2-oxoglutarate aminotransferase activity
GO:0052654,L-leucine transaminase activity
GO:0052655,L-valine transaminase activity
GO:0052656,L-isoleucine transaminase activity
GO:0009081,branched-chain amino acid metabolic process
GO:0009082,branched-chain amino acid biosynthetic process
GO:0009098,leucine biosynthetic process
GO:0009099,valine biosynthetic process
GO:0005471,ATP:ADP antiporter activity
GO:0140021,mitochondrial ADP transmembrane transport
GO:1901029,negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway
GO:1990544,mitochondrial ATP transmembrane transport
GO:0004423,iduronate-2-sulfatase activity
GO:0030318,melanocyte differentiation
GO:0042438,melanin biosynthetic process
GO:0071567,deUFMylase activity
GO:0033617,mitochondrial cytochrome c oxidase assembly
GO:0030488,tRNA methylation
GO:0016773,"phosphotransferase activity, alcohol group as acceptor"
GO:0043843,ADP-specific glucokinase activity
GO:0006006,glucose metabolic process
GO:0006096,glycolytic process
GO:0009134,nucleoside diphosphate catabolic process
GO:0035329,hippo signaling
GO:0007221,positive regulation of transcription of Notch receptor target
GO:0004890,GABA-A receptor activity
GO:0005231,excitatory extracellular ligand-gated monoatomic ion channel activity
GO:0007214,gamma-aminobutyric acid signaling pathway
GO:0098609,cell-cell adhesion
GO:0045296,cadherin binding
GO:0000902,cell morphogenesis
GO:0007043,cell-cell junction assembly
GO:0016339,calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules
GO:0034332,adherens junction organization
GO:0044331,cell-cell adhesion mediated by cadherin
GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules
GO:0008175,tRNA methyltransferase activity
GO:0016427,tRNA (cytidine) methyltransferase activity
GO:0106339,tRNA (cytidine(32)-2'-O)-methyltransferase activity
GO:0106340,tRNA (guanine(34)-2'-O)-methyltransferase activity
GO:0001510,RNA methylation
GO:0002128,tRNA nucleoside ribose methylation
GO:0008386,cholesterol monooxygenase (side-chain-cleaving) activity
GO:0006700,C21-steroid hormone biosynthetic process
GO:0006704,glucocorticoid biosynthetic process
GO:0008203,cholesterol metabolic process
GO:0034650,cortisol metabolic process
GO:0044249,cellular biosynthetic process
GO:0071375,cellular response to peptide hormone stimulus
GO:0045815,transcription initiation-coupled chromatin remodeling
GO:0071168,protein localization to chromatin
GO:0048738,cardiac muscle tissue development
GO:0060047,heart contraction
GO:0090266,regulation of mitotic cell cycle spindle assembly checkpoint
GO:0004021,L-alanine:2-oxoglutarate aminotransferase activity
GO:0042853,L-alanine catabolic process
GO:0016462,pyrophosphatase activity
GO:0050333,thiamine triphosphate phosphatase activity
GO:0042357,thiamine diphosphate metabolic process
GO:0008579,JUN kinase phosphatase activity
GO:0047757,chondroitin-glucuronate 5-epimerase activity
GO:0030204,chondroitin sulfate metabolic process
GO:0030205,dermatan sulfate metabolic process
GO:0004152,dihydroorotate dehydrogenase activity
GO:0106430,dihydroorotate dehydrogenase (quinone) activity
GO:0006207,'de novo' pyrimidine nucleobase biosynthetic process
GO:0009220,pyrimidine ribonucleotide biosynthetic process
GO:0044205,'de novo' UMP biosynthetic process
GO:0043001,Golgi to plasma membrane protein transport
GO:0017124,SH3 domain binding
GO:0006909,phagocytosis
GO:0048870,cell motility
GO:0045879,negative regulation of smoothened signaling pathway
GO:0042277,peptide binding
GO:0032870,cellular response to hormone stimulus
GO:2000036,regulation of stem cell population maintenance
GO:0030705,cytoskeleton-dependent intracellular transport
GO:0070507,regulation of microtubule cytoskeleton organization
GO:0050113,inositol oxygenase activity
GO:0019310,inositol catabolic process
GO:0017159,pantetheine hydrolase activity
GO:0015939,pantothenate metabolic process
GO:0016728,"oxidoreductase activity, acting on CH or CH2 groups, disulfide as acceptor"
GO:0047057,vitamin-K-epoxide reductase (warfarin-sensitive) activity
GO:0048038,quinone binding
GO:0042373,vitamin K metabolic process
GO:0004441,"inositol-1,4-bisphosphate 1-phosphatase activity"
GO:0004556,alpha-amylase activity
GO:0004574,"oligo-1,6-glucosidase activity"
GO:0004575,sucrose alpha-glucosidase activity
GO:0032450,maltose alpha-glucosidase activity
GO:0033934,"glucan 1,4-alpha-maltotriohydrolase activity"
GO:0000025,maltose catabolic process
GO:0005987,sucrose catabolic process
GO:0006865,amino acid transport
GO:0004500,dopamine beta-monooxygenase activity
GO:0006589,octopamine biosynthetic process
GO:0042420,dopamine catabolic process
GO:0042421,norepinephrine biosynthetic process
GO:0004697,diacylglycerol-dependent serine/threonine kinase activity
GO:0007160,cell-matrix adhesion
GO:0002082,regulation of oxidative phosphorylation
GO:0097250,mitochondrial respirasome assembly
GO:0008569,minus-end-directed microtubule motor activity
GO:0051959,dynein light intermediate chain binding
GO:0060294,cilium movement involved in cell motility
GO:0030317,flagellated sperm motility
GO:0036158,outer dynein arm assembly
GO:0030674,protein-macromolecule adaptor activity
GO:0070086,ubiquitin-dependent endocytosis
GO:0004867,serine-type endopeptidase inhibitor activity
GO:0061598,molybdopterin adenylyltransferase activity
GO:0061599,molybdopterin molybdotransferase activity
GO:0006777,Mo-molybdopterin cofactor biosynthetic process
GO:0007529,establishment of synaptic specificity at neuromuscular junction
GO:0032324,molybdopterin cofactor biosynthetic process
GO:0072579,glycine receptor clustering
GO:0097112,gamma-aminobutyric acid receptor clustering
GO:0098970,postsynaptic neurotransmitter receptor diffusion trapping
GO:0004300,enoyl-CoA hydratase activity
GO:0030151,molybdenum ion binding
GO:0008265,Mo-molybdopterin cofactor sulfurase activity
GO:0008940,nitrate reductase activity
GO:0043546,molybdopterin cofactor binding
GO:0042126,nitrate metabolic process
GO:0043545,molybdopterin cofactor metabolic process
GO:0036149,phosphatidylinositol acyl-chain remodeling
GO:0019911,structural constituent of myelin sheath
GO:0042552,myelination
GO:0006995,cellular response to nitrogen starvation
GO:0097352,autophagosome maturation
GO:0000721,"(R,R)-butanediol dehydrogenase activity"
GO:0034079,butanediol biosynthetic process
GO:0004568,chitinase activity
GO:0006032,chitin catabolic process
GO:0009313,oligosaccharide catabolic process
GO:0043027,cysteine-type endopeptidase inhibitor activity involved in apoptotic process
GO:0031398,positive regulation of protein ubiquitination
GO:0047580,4-hydroxyproline epimerase activity
GO:0050346,trans-L-3-hydroxyproline dehydratase activity
GO:0003341,cilium movement
GO:0003851,2-hydroxyacylsphingosine 1-beta-galactosyltransferase activity
GO:0008194,UDP-glycosyltransferase activity
GO:0006682,galactosylceramide biosynthetic process
GO:0052907,23S rRNA (adenine(1618)-N(6))-methyltransferase activity
GO:0006725,cellular aromatic compound metabolic process
GO:0046483,heterocycle metabolic process
GO:0070475,rRNA base methylation
GO:1901360,organic cyclic compound metabolic process
GO:1990145,maintenance of translational fidelity
GO:0042586,peptide deformylase activity
GO:0043686,co-translational protein modification
GO:0045071,negative regulation of viral genome replication
GO:0007033,vacuole organization
GO:0016197,endosomal transport
GO:0032036,myosin heavy chain binding
GO:0140659,cytoskeletal motor regulator activity
GO:0009791,post-embryonic development
GO:0031032,actomyosin structure organization
GO:0040011,locomotion
GO:0006895,Golgi to endosome transport
GO:0006896,Golgi to vacuole transport
GO:0004452,isopentenyl-diphosphate delta-isomerase activity
GO:0008299,isoprenoid biosynthetic process
GO:0009240,isopentenyl diphosphate biosynthetic process
GO:0050992,dimethylallyl diphosphate biosynthetic process
GO:0043123,positive regulation of canonical NF-kappaB signal transduction
GO:0016805,dipeptidase activity
GO:0070573,metallodipeptidase activity
GO:0007010,cytoskeleton organization
GO:0070370,cellular heat acclimation
GO:0003085,negative regulation of systemic arterial blood pressure
GO:0043535,regulation of blood vessel endothelial cell migration
GO:0060055,angiogenesis involved in wound healing
GO:0005048,signal sequence binding
GO:0031204,"post-translational protein targeting to membrane, translocation"
GO:0009982,pseudouridine synthase activity
GO:0001522,pseudouridine synthesis
GO:0009451,RNA modification
GO:0031119,tRNA pseudouridine synthesis
GO:1990481,mRNA pseudouridine synthesis
GO:0008301,"DNA binding, bending"
GO:0031344,regulation of cell projection organization
GO:0043169,cation binding
GO:0032873,negative regulation of stress-activated MAPK cascade
GO:0043124,negative regulation of canonical NF-kappaB signal transduction
GO:0036297,interstrand cross-link repair
GO:0030837,negative regulation of actin filament polymerization
GO:0004758,serine C-palmitoyltransferase activity
GO:0046512,sphingosine biosynthetic process
GO:0001889,liver development
GO:0006491,N-glycan processing
GO:0071034,CUT catabolic process
GO:0071051,poly(A)-dependent snoRNA 3'-end processing
GO:0004421,hydroxymethylglutaryl-CoA synthase activity
GO:0006084,acetyl-CoA metabolic process
GO:0006696,ergosterol biosynthetic process
GO:0010142,"farnesyl diphosphate biosynthetic process, mevalonate pathway"
GO:1990756,ubiquitin ligase-substrate adaptor activity
GO:0003884,D-amino-acid oxidase activity
GO:0008445,D-aspartate oxidase activity
GO:0006533,aspartate catabolic process
GO:0019478,D-amino acid catabolic process
GO:0046416,D-amino acid metabolic process
GO:0008408,3'-5' exonuclease activity
GO:0004496,mevalonate kinase activity
GO:0019287,"isopentenyl diphosphate biosynthetic process, mevalonate pathway"
GO:0008053,mitochondrial fusion
GO:0051646,mitochondrion localization
GO:0003985,acetyl-CoA C-acetyltransferase activity
GO:0004000,adenosine deaminase activity
GO:0004731,purine-nucleoside phosphorylase activity
GO:0017061,S-methyl-5-thioadenosine phosphorylase activity
GO:0046936,2'-deoxyadenosine deaminase activity
GO:0004017,adenylate kinase activity
GO:0004127,cytidylate kinase activity
GO:0019205,nucleobase-containing compound kinase activity
GO:0033862,UMP kinase activity
GO:0050145,nucleoside monophosphate kinase activity
GO:0006139,nucleobase-containing compound metabolic process
GO:0006225,UDP biosynthetic process
GO:0046705,CDP biosynthetic process
GO:0046940,nucleoside monophosphate phosphorylation
GO:1901566,organonitrogen compound biosynthetic process
GO:0009041,UMP/dUMP kinase activity
GO:0036430,CMP kinase activity
GO:0036431,dCMP kinase activity
GO:0006221,pyrimidine nucleotide biosynthetic process
GO:0072528,pyrimidine-containing compound biosynthetic process
GO:0030174,regulation of DNA-templated DNA replication initiation
GO:0033314,mitotic DNA replication checkpoint signaling
GO:0034986,iron chaperone activity
GO:0050793,regulation of developmental process
GO:0007154,cell communication
GO:0007157,heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules
GO:0007411,axon guidance
GO:0045197,establishment or maintenance of epithelial cell apical/basal polarity
GO:0051716,cellular response to stimulus
GO:0015038,glutathione disulfide oxidoreductase activity
GO:0047746,chlorophyllase activity
GO:0046974,histone H3K9 methyltransferase activity
GO:0000246,delta24(24-1) sterol reductase activity
GO:0050614,delta24-sterol reductase activity
GO:0004596,peptide alpha-N-acetyltransferase activity
GO:1990190,peptide-glutamate-alpha-N-acetyltransferase activity
GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"
GO:0000290,deadenylation-dependent decapping of nuclear-transcribed mRNA
GO:0070888,E-box binding
GO:0007423,sensory organ development
GO:0030900,forebrain development
GO:0048663,neuron fate commitment
GO:0061564,axon development
GO:0033192,calmodulin-dependent protein phosphatase activity
GO:0097720,calcineurin-mediated signaling
GO:0016401,palmitoyl-CoA oxidase activity
GO:0000038,very long-chain fatty acid metabolic process
GO:1904070,ascaroside biosynthetic process
GO:0090141,positive regulation of mitochondrial fission
GO:0090314,positive regulation of protein targeting to membrane
GO:0004659,prenyltransferase activity
GO:0016765,"transferase activity, transferring alkyl or aryl (other than methyl) groups"
GO:0009234,menaquinone biosynthetic process
GO:0032194,"ubiquinone biosynthetic process via 3,4-dihydroxy-5-polyprenylbenzoate"
GO:0042371,vitamin K biosynthetic process
GO:0042372,phylloquinone biosynthetic process
GO:1901663,quinone biosynthetic process
GO:0030544,Hsp70 protein binding
GO:0061608,nuclear import signal receptor activity
GO:0008171,O-methyltransferase activity
GO:0008173,RNA methyltransferase activity
GO:0017069,snRNA binding
GO:0040031,snRNA modification
GO:0042391,regulation of membrane potential
GO:0050877,nervous system process
GO:0045292,"mRNA cis splicing, via spliceosome"
GO:0003785,actin monomer binding
GO:0042989,sequestering of actin monomers
GO:0044087,regulation of cellular component biogenesis
GO:0051128,regulation of cellular component organization
GO:0008286,insulin receptor signaling pathway
GO:0090090,negative regulation of canonical Wnt signaling pathway
GO:0004983,neuropeptide Y receptor activity
GO:0008297,single-stranded DNA exodeoxyribonuclease activity
GO:0006264,mitochondrial DNA replication
GO:0006283,transcription-coupled nucleotide-excision repair
GO:0004032,alditol:NADP+ 1-oxidoreductase activity
GO:0048666,neuron development
GO:0017095,heparan sulfate 6-O-sulfotransferase activity
GO:0015015,"heparan sulfate proteoglycan biosynthetic process, enzymatic modification"
GO:0005319,lipid transporter activity
GO:0006689,ganglioside catabolic process
GO:0006869,lipid transport
GO:0007338,single fertilization
GO:0045948,positive regulation of translational initiation
GO:0046825,regulation of protein export from nucleus
GO:0042392,sphingosine-1-phosphate phosphatase activity
GO:0008610,lipid biosynthetic process
GO:1901137,carbohydrate derivative biosynthetic process
GO:0006935,chemotaxis
GO:0007163,establishment or maintenance of cell polarity
GO:0008045,motor neuron axon guidance
GO:0008360,regulation of cell shape
GO:0010592,positive regulation of lamellipodium assembly
GO:0030865,cortical cytoskeleton organization
GO:0032956,regulation of actin cytoskeleton organization
GO:0043652,engulfment of apoptotic cell
GO:0004341,gluconolactonase activity
GO:0019853,L-ascorbic acid biosynthetic process
GO:0005179,hormone activity
GO:0000423,mitophagy
GO:0009267,cellular response to starvation
GO:0016240,autophagosome membrane docking
GO:0004555,"alpha,alpha-trehalase activity"
GO:0047402,protein-glucosylgalactosylhydroxylysine glucosidase activity
GO:0005993,trehalose catabolic process
GO:0030071,regulation of mitotic metaphase/anaphase transition
GO:0030833,regulation of actin filament polymerization
GO:0001055,RNA polymerase II activity
GO:0006366,transcription by RNA polymerase II
GO:0042554,superoxide anion generation
GO:0008474,palmitoyl-(protein) hydrolase activity
GO:0098734,macromolecule depalmitoylation
GO:0043184,vascular endothelial growth factor receptor 2 binding
GO:0001525,angiogenesis
GO:0004800,thyroxine 5'-deiodinase activity
GO:0032217,riboflavin transmembrane transporter activity
GO:0032218,riboflavin transport
GO:0016493,C-C chemokine receptor activity
GO:0002161,aminoacyl-tRNA editing activity
GO:0004813,alanine-tRNA ligase activity
GO:0006419,alanyl-tRNA aminoacylation
GO:0106074,aminoacyl-tRNA metabolism involved in translational fidelity
GO:0005044,scavenger receptor activity
GO:0004526,ribonuclease P activity
GO:0033204,ribonuclease P RNA binding
GO:0001682,tRNA 5'-leader removal
GO:0034470,ncRNA processing
GO:0003834,"beta-carotene 15,15'-dioxygenase activity"
GO:0010436,carotenoid dioxygenase activity
GO:0016702,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen"
GO:0016121,carotene catabolic process
GO:0004163,diphosphomevalonate decarboxylase activity
GO:0055074,calcium ion homeostasis
GO:0008656,cysteine-type endopeptidase activator activity involved in apoptotic process
GO:0008336,gamma-butyrobetaine dioxygenase activity
GO:0045329,carnitine biosynthetic process
GO:0008768,UDP-sugar diphosphatase activity
GO:0008893,"guanosine-3',5'-bis(diphosphate) 3'-diphosphatase activity"
GO:0016818,"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides"
GO:0019144,ADP-sugar diphosphatase activity
GO:0034432,bis(5'-adenosyl)-pentaphosphatase activity
GO:0006753,nucleoside phosphate metabolic process
GO:0019693,ribose phosphate metabolic process
GO:1990428,miRNA transport
GO:0008453,alanine-glyoxylate transaminase activity
GO:0047304,2-aminoethylphosphonate-pyruvate transaminase activity
GO:0019700,organic phosphonate catabolic process
GO:0052906,tRNA (guanine(37)-N1)-methyltransferase activity
GO:0102522,tRNA 4-demethylwyosine alpha-amino-alpha-carboxypropyltransferase activity
GO:0002939,tRNA N1-guanine methylation
GO:0070901,mitochondrial tRNA methylation
GO:0036211,protein modification process
GO:0072542,protein phosphatase activator activity
GO:0035243,protein-arginine omega-N symmetric methyltransferase activity
GO:0005094,Rho GDP-dissociation inhibitor activity
GO:0003333,amino acid transmembrane transport
GO:0016358,dendrite development
GO:0110104,mRNA alternative polyadenylation
GO:0030619,U1 snRNA binding
GO:0007088,regulation of mitotic nuclear division
GO:0051983,regulation of chromosome segregation
GO:0032549,ribonucleoside binding
GO:0034062,5'-3' RNA polymerase activity
GO:0030199,collagen fibril organization
GO:0000979,RNA polymerase II core promoter sequence-specific DNA binding
GO:0016251,RNA polymerase II general transcription initiation factor activity
GO:0016407,acetyltransferase activity
GO:0001174,transcriptional start site selection at RNA polymerase II promoter
GO:0010467,gene expression
GO:0070897,transcription preinitiation complex assembly
GO:1990114,RNA polymerase II core complex assembly
GO:0004896,cytokine receptor activity
GO:0019955,cytokine binding
GO:0019221,cytokine-mediated signaling pathway
