"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","protein","domain"
"Nvec-vc1.1-XM-001647467.3",2.41292375428751e-05,0.371995963852606,0.469,0.418,0.39897694277144,"0","Nvec-vc1.1-XM-001647467.3","CTNNB1","Arm/Arm/Arm/Arm/"
"Nvec-vc1.1-XM-001632646.3",2.44843451459018e-05,-0.302532418225417,0.195,0.266,0.404848646987487,"0","Nvec-vc1.1-XM-001632646.3","MRPL17","Ribosomal_L17/"
"Nvec-vc1.1-XM-001637264.3",2.53293541331375e-05,0.281619253847279,0.405,0.339,0.418820870591429,"0","Nvec-vc1.1-XM-001637264.3","CFAP97D2","KIAA1430/"
"Nvec-vc1.1-XM-048726983.1",2.53617010259477e-05,0.419539500289499,0.38,0.335,0.419355726464046,"0","Nvec-vc1.1-XM-048726983.1","DEK","DEK_C/"
"Nvec-vc1.1-XM-032381573.2",2.74925149183936e-05,-0.389815110193601,0.19,0.258,0.454588734175638,"0","Nvec-vc1.1-XM-032381573.2","POLDIP3","RRM_1/"
"Nvec-vc1.1-XM-048729564.1",2.80433961980932e-05,-0.341194939272516,0.214,0.287,0.463697556135471,"0","Nvec-vc1.1-XM-048729564.1","CTSD","A1_Propeptide/Asp/"
"Nvec-vc1.1-XM-001621930.3",2.82159864774152e-05,-0.279844570729604,0.28,0.359,0.466551336404061,"0","Nvec-vc1.1-XM-001621930.3","RAB6A","Ras/"
"Nvec-vc1.1-XM-001628740.3",2.88350177548618e-05,-0.441931169249959,0.543,0.602,0.47678701857664,"0","Nvec-vc1.1-XM-001628740.3","CTSL","Inhibitor_I29/Peptidase_C1/"
"Nvec-vc1.1-XM-001640283.2",2.92955655275473e-05,-0.370861802352043,0.23,0.299,0.484402175997995,"0","Nvec-vc1.1-XM-001640283.2","UBALD2","UBA_4/"
"Nvec-vc1.1-XM-001640613.3",2.97635622244686e-05,-0.260527772328037,0.214,0.29,0.492140501381589,"0","Nvec-vc1.1-XM-001640613.3","NAA30","Acetyltransf_1/"
"Nvec-vc1.1-XM-001641228.3",3.03170291459494e-05,-0.390934240262992,0.191,0.257,0.501292076928273,"0","Nvec-vc1.1-XM-001641228.3","TMEM170A","Tmemb_170/"
"Nvec-vc1.1-XM-001640467.3",3.17743352129509e-05,-0.26854396171793,0.236,0.313,0.525388632746143,"0","Nvec-vc1.1-XM-001640467.3","","Mitoc_mL59/"
"Nvec-vc1.1-XM-001637865.3",3.52563211048751e-05,0.328700800486851,0.592,0.565,0.58296326946911,"0","Nvec-vc1.1-XM-001637865.3","CTSL","Inhibitor_I29/Peptidase_C1/"
"Nvec-vc1.1-XM-001624716.3",3.89244241912275e-05,0.292982035298097,0.374,0.303,0.643615354001947,"0","Nvec-vc1.1-XM-001624716.3","SOX14","HMG_box/SOXp/"
"Nvec-vc1.1-XM-032363265.2",4.02857750641434e-05,0.434875120950699,0.262,0.201,0.666125290685612,"0","Nvec-vc1.1-XM-032363265.2","DHX8","DEAD/Helicase_C/HA2/OB_NTP_bind/IBR/"
"Nvec-vc1.1-XM-032382866.2",4.35441777502438e-05,-0.376420317765016,0.241,0.307,0.720002979100281,"0","Nvec-vc1.1-XM-032382866.2","MAF1","Maf1/"
"Nvec-vc1.1-XM-001634913.3",4.36838731234172e-05,0.511794864602411,0.262,0.207,0.722312842095703,"0","Nvec-vc1.1-XM-001634913.3","SLC34A2","Na_Pi_cotrans/Na_Pi_cotrans/"
"Nvec-vc1.1-XM-032384221.2",4.40210764376644e-05,-0.44942318238254,0.414,0.48,0.727888498896781,"0","Nvec-vc1.1-XM-032384221.2","ETV6","Ets/"
"Nvec-vc1.1-XM-032371111.2",4.4447533225298e-05,0.43822961217114,0.288,0.231,0.734939961880303,"0","Nvec-vc1.1-XM-032371111.2","H3C13","Histone/"
"Nvec-vc1.1-XM-048721900.1",4.49364734118233e-05,-0.333726942473943,0.264,0.341,0.743024587864498,"0","Nvec-vc1.1-XM-048721900.1","SF3A3","SF3a60_bindingd/SF3A3/Telomere_Sde2_2/DUF3449/"
"Nvec-vc1.1-XM-048734532.1",4.97992563490152e-05,-0.415543757099895,0.474,0.532,0.823430703730966,"0","Nvec-vc1.1-XM-048734532.1","CRIP2","LIM/LIM/"
"Nvec-vc1.1-XM-032374982.2",5.12372798007392e-05,-0.266331481345164,0.226,0.3,0.847208421505223,"0","Nvec-vc1.1-XM-032374982.2","LYPLA1","Abhydrolase_2/"
"Nvec-vc1.1-XM-001639689.3",5.48162091535644e-05,-0.349937860878734,0.209,0.276,0.906386018354188,"0","Nvec-vc1.1-XM-001639689.3","UBE2I","UQ_con/"
"Nvec-vc1.1-XM-048719869.1",5.57209966974214e-05,-0.308952319986839,0.251,0.325,0.921346680391863,"0","Nvec-vc1.1-XM-048719869.1","TOMM22","Tom22/"
"Nvec-vc1.1-XM-001633084.3",5.67128164183422e-05,-0.258245290030642,0.406,0.487,0.937746419477288,"0","Nvec-vc1.1-XM-001633084.3","TAF13","TFIID-18kDa/"
"Nvec-vc1.1-XM-001630907.3",5.9390235163066e-05,-0.388497279343562,0.185,0.251,0.982017538421296,"0","Nvec-vc1.1-XM-001630907.3","MRPS16","Ribosomal_S16/"
"Nvec-vc1.1-XM-032377948.2",6.02202222107205e-05,-0.413862190786501,0.193,0.258,0.995741374254263,"0","Nvec-vc1.1-XM-032377948.2","ABCF2","ABC_tran/ABC_tran_Xtn/ABC_tran/"
"Nvec-vc1.1-XM-001641364.3",6.05119532168189e-05,-0.340254523883793,0.237,0.307,1,"0","Nvec-vc1.1-XM-001641364.3","DBI","ACBP/"
"Nvec-vc1.1-XM-001624006.3",6.24531405868999e-05,-0.320352636217155,0.237,0.303,1,"0","Nvec-vc1.1-XM-001624006.3","CPD","Peptidase_M14/CarboxypepD_reg/"
"Nvec-vc1.1-XM-048725833.1",6.35275470576823e-05,-0.289400671958859,0.289,0.359,1,"0","Nvec-vc1.1-XM-048725833.1","FAM32A","DUF1754/"
"Nvec-vc1.1-XM-001629190.3",6.43969482771268e-05,-0.308903642097033,0.246,0.314,1,"0","Nvec-vc1.1-XM-001629190.3","CNOT7","CAF1/"
"Nvec-vc1.1-XM-001639736.3",6.4792189737212e-05,-0.300800948510388,0.284,0.359,1,"0","Nvec-vc1.1-XM-001639736.3","HSPA9","HSP70/"
"Nvec-vc1.1-XM-048725836.1",6.58483435421331e-05,-0.318598875168438,0.265,0.34,1,"0","Nvec-vc1.1-XM-048725836.1","EIF3C","eIF-3c_N/PCI/"
"Nvec-vc1.1-XM-001626112.3",6.59822500610293e-05,0.444794143965657,0.259,0.203,1,"0","Nvec-vc1.1-XM-001626112.3","",""
"Nvec-vc1.1-XM-048728876.1",7.033503987499e-05,-0.340782404700481,0.25,0.322,1,"0","Nvec-vc1.1-XM-048728876.1","API5","API5/"
"Nvec-vc1.1-XM-032377736.2",7.41742311605329e-05,-0.335997629326442,0.187,0.25,1,"0","Nvec-vc1.1-XM-032377736.2","ATPSCKMT",""
"Nvec-vc1.1-XM-032366015.2",7.46736398372859e-05,-0.409687054602712,0.189,0.253,1,"0","Nvec-vc1.1-XM-032366015.2","CLINT1","ENTH/"
"Nvec-vc1.1-XM-048726561.1",7.57661409092938e-05,0.502753366711855,0.277,0.228,1,"0","Nvec-vc1.1-XM-048726561.1","MAPK15","Pkinase/"
"Nvec-vc1.1-XM-001629878.3",7.65234142047928e-05,0.41864314971515,0.301,0.25,1,"0","Nvec-vc1.1-XM-001629878.3","GEMIN8","GEMIN8/"
"Nvec-vc1.1-XM-032366433.2",7.71795798453323e-05,-0.266221778190953,0.438,0.518,1,"0","Nvec-vc1.1-XM-032366433.2","SEM1","DSS1_SEM1/"
"Nvec-vc1.1-XM-001639269.3",7.79077315814556e-05,0.320472963684777,0.534,0.494,1,"0","Nvec-vc1.1-XM-001639269.3","AHCY","AdoHcyase/AdoHcyase_NAD/"
"Nvec-vc1.1-XM-001629863.3",7.99400748412075e-05,-0.360018708108956,0.203,0.267,1,"0","Nvec-vc1.1-XM-001629863.3","MAT2A","S-AdoMet_synt_N/S-AdoMet_synt_M/S-AdoMet_synt_C/"
"Nvec-vc1.1-XM-001641461.3",8.15025416114595e-05,-0.254395913460199,0.3,0.382,1,"0","Nvec-vc1.1-XM-001641461.3","LIN52","LIN52/"
"Nvec-vc1.1-XM-001637445.3",8.25724577573649e-05,0.566867700150096,0.284,0.24,1,"0","Nvec-vc1.1-XM-001637445.3","DUSP6","Rhodanese/DSPc/"
"Nvec-vc1.1-XM-001632024.3",8.40943475360299e-05,-0.375360508026328,0.195,0.259,1,"0","Nvec-vc1.1-XM-001632024.3","POLR2H","RNA_pol_Rpb8/"
"Nvec-vc1.1-XM-001628761.3",9.33166388599358e-05,-0.325694767181361,0.193,0.257,1,"0","Nvec-vc1.1-XM-001628761.3","DAZAP1","RRM_1/"
"Nvec-vc1.1-XM-032377911.2",9.47477167878121e-05,-0.258128322791933,0.282,0.355,1,"0","Nvec-vc1.1-XM-032377911.2","MPP6","L27/PDZ/SH3_2/Guanylate_kin/"
"Nvec-vc1.1-XM-001637157.3",0.000100332018176205,-0.286831975561699,0.305,0.384,1,"0","Nvec-vc1.1-XM-001637157.3","SNRPA1","LRR_9/"
"Nvec-vc1.1-XM-048724459.1",0.000100708972443004,-0.31843602218237,0.259,0.322,1,"0","Nvec-vc1.1-XM-048724459.1","UBE2J2","UQ_con/"
"Nvec-vc1.1-XM-001628946.3",0.00010090089644321,-0.366167103571247,0.221,0.286,1,"0","Nvec-vc1.1-XM-001628946.3","ATF6","bZIP_1/"
"Nvec-vc1.1-XM-001629860.3",0.000105440823745698,-0.297173660686437,0.208,0.272,1,"0","Nvec-vc1.1-XM-001629860.3","PHC1","SAM_1/"
"Nvec-vc1.1-XM-001636598.3",0.000106534558923178,0.34402303502378,0.509,0.482,1,"0","Nvec-vc1.1-XM-001636598.3","C1QBP","MAM33/"
"Nvec-vc1.1-XM-001630761.3",0.000107149923023801,0.482389328155175,0.28,0.227,1,"0","Nvec-vc1.1-XM-001630761.3","C9orf135","DUF4572/"
"Nvec-vc1.1-XM-001632619.3",0.000115905777907065,0.30256107258579,0.483,0.444,1,"0","Nvec-vc1.1-XM-001632619.3","GLUL","Gln-synt_N/Gln-synt_C/"
"Nvec-vc1.1-XM-032371130.2",0.000116426647159818,0.254884174787407,0.726,0.695,1,"0","Nvec-vc1.1-XM-032371130.2","",""
"Nvec-vc1.1-XM-048726141.1",0.000127089044710279,-0.265374464403003,0.397,0.477,1,"0","Nvec-vc1.1-XM-048726141.1","NF2","FERM_N/FERM_M/FERM_C/ERM/"
"Nvec-vc1.1-XM-001641296.3",0.00012819221001907,0.491077119764873,0.28,0.235,1,"0","Nvec-vc1.1-XM-001641296.3","RNF38","zf-RING_2/"
"Nvec-vc1.1-XM-001642062.3",0.000131642351077862,-0.261591838717445,0.228,0.298,1,"0","Nvec-vc1.1-XM-001642062.3","PSMD13","PCI/Rpn9_C/"
"Nvec-vc1.1-XM-001641854.3",0.000135172182647606,-0.317886988102641,0.196,0.257,1,"0","Nvec-vc1.1-XM-001641854.3","SF3A1","Surp/Surp/PRP21_like_P/ubiquitin/"
"Nvec-vc1.1-XM-032371942.2",0.000158985431842393,-0.280390647917496,0.219,0.285,1,"0","Nvec-vc1.1-XM-032371942.2","SRRM1","PWI/Lipase_GDSL_2/"
"Nvec-vc1.1-XM-001629809.3",0.00016056330961428,-0.434073819404792,0.192,0.251,1,"0","Nvec-vc1.1-XM-001629809.3","C6orf62","DUF4566/"
"Nvec-vc1.1-XM-032370802.2",0.000161457772113119,-0.266300819261883,0.388,0.455,1,"0","Nvec-vc1.1-XM-032370802.2","RDX","FERM_N/FERM_M/FERM_C/ERM/"
"Nvec-vc1.1-XM-032382352.2",0.000162094197196821,0.471958955898017,0.254,0.201,1,"0","Nvec-vc1.1-XM-032382352.2","GPR157","Dicty_CAR/"
"Nvec-vc1.1-XM-048719716.1",0.000168810688660596,0.426578798553208,0.292,0.238,1,"0","Nvec-vc1.1-XM-048719716.1","DZIP3","HEPN_DZIP3/NACHT/LRR_6/LRR_6/"
"Nvec-vc1.1-XM-048722557.1",0.000171182232093111,-0.274600493975018,0.205,0.27,1,"0","Nvec-vc1.1-XM-048722557.1","ABT1","RRM_1/"
"Nvec-vc1.1-XM-001623004.3",0.00017185989812808,-0.487563979742122,0.302,0.36,1,"0","Nvec-vc1.1-XM-001623004.3","PLIN2","Perilipin/"
"Nvec-vc1.1-XM-001633359.3",0.000172255023232021,-0.291655649564658,0.247,0.313,1,"0","Nvec-vc1.1-XM-001633359.3","FN3KRP","Fructosamin_kin/"
"Nvec-vc1.1-XM-001639017.3",0.000176939443916133,-0.424828157057791,0.234,0.295,1,"0","Nvec-vc1.1-XM-001639017.3","",""
"Nvec-NVE13160",0.000179106935655522,-0.610825995266149,0.301,0.355,1,"0","Nvec-NVE13160","CFL1","Cofilin_ADF/"
"Nvec-vc1.1-XM-001640887.3",0.000180901790123347,0.262588904072074,0.614,0.595,1,"0","Nvec-vc1.1-XM-001640887.3","ABRACL","Costars/"
"Nvec-vc1.1-XM-048731215.1",0.000186773621065635,-0.343693875611865,0.219,0.28,1,"0","Nvec-vc1.1-XM-048731215.1","RC3H2","zf-RING_5/ROQ_II/zf-CCCH/"
"Nvec-vc1.1-XM-032382529.2",0.000208483238164244,0.389727880172859,0.288,0.235,1,"0","Nvec-vc1.1-XM-032382529.2","STPG4",""
"Nvec-vc1.1-XM-032372534.2",0.000236991454506711,-0.405881016030676,0.944,0.887,1,"0","Nvec-vc1.1-XM-032372534.2","",""
"Nvec-vc1.1-XM-048731786.1",0.000243074570263093,-0.477057073511608,0.457,0.51,1,"0","Nvec-vc1.1-XM-048731786.1","RLRb","CARD_2/DEAD/RIG-I_C/Helicase_C/RIG-I_C-RD/"
"Nvec-vc1.1-XM-001630088.3",0.000244645388889122,-0.277405037348839,0.195,0.257,1,"0","Nvec-vc1.1-XM-001630088.3","PEF1","EF-hand_7/EF-hand_8/"
"Nvec-vc1.1-XM-001630337.3",0.000264742800982418,-0.259733512619975,0.325,0.398,1,"0","Nvec-vc1.1-XM-001630337.3","SNX12","PX/"
"Nvec-vc1.1-XM-048724102.1",0.000273217791991328,-0.277984266493062,0.199,0.261,1,"0","Nvec-vc1.1-XM-048724102.1","","TPR_8/TPR_8/TPR_17/"
"Nvec-vc1.1-XM-001632361.2",0.000282140673839042,0.289263896317491,0.372,0.32,1,"0","Nvec-vc1.1-XM-001632361.2","AVIL","Gelsolin/Gelsolin/Gelsolin/"
"Nvec-vc1.1-XM-001634986.3",0.00028230715996094,0.274005160600757,0.337,0.274,1,"0","Nvec-vc1.1-XM-001634986.3","STAT5A","STAT_alpha/STAT_bind/SH2/"
"Nvec-vc1.1-XM-001629490.3",0.000282751778346864,-0.407797410186978,0.581,0.622,1,"0","Nvec-vc1.1-XM-001629490.3","",""
"Nvec-vc1.1-XM-001641074.3",0.000289080683101703,0.444474341458734,0.269,0.223,1,"0","Nvec-vc1.1-XM-001641074.3","RPA3","Rep_fac-A_3/"
"Nvec-vc1.1-XM-001640464.3",0.000296126881601183,-0.316665427868663,0.195,0.255,1,"0","Nvec-vc1.1-XM-001640464.3","GTPBP2","GTP_EFTU/GTP_EFTU_D2/"
"Nvec-vc1.1-XM-032375592.2",0.000296865523935004,-0.275631656920658,0.366,0.439,1,"0","Nvec-vc1.1-XM-032375592.2","",""
"Nvec-vc1.1-XM-048725188.1",0.000308155607238236,-0.308135566946429,0.193,0.251,1,"0","Nvec-vc1.1-XM-048725188.1","FDX2","Fer2/"
"Nvec-vc1.1-XM-032385119.2",0.000339478982660787,0.267057227028487,0.317,0.263,1,"0","Nvec-vc1.1-XM-032385119.2","HMCN1","I-set/I-set/Ig_3/fn3/"
"Nvec-vc1.1-XM-048721243.1",0.000360951906219736,-0.251652536920737,0.259,0.325,1,"0","Nvec-vc1.1-XM-048721243.1","CNOT1","CNOT1_HEAT/CNOT1_TTP_bind/CNOT1_CAF1_bind/DUF3819/Not1/"
"Nvec-vc1.1-XM-048731219.1",0.000368284600654149,-0.280397618880016,0.264,0.329,1,"0","Nvec-vc1.1-XM-048731219.1","","RVT_1/RT_RNaseH_2/Integrase_H2C2/rve/"
"Nvec-vc1.1-XM-048730194.1",0.000370986027722337,0.33109791126704,0.302,0.251,1,"0","Nvec-vc1.1-XM-048730194.1","PKD1L2","F5_F8_type_C/EGF/EGF/EGF/REJ/GPS/PLAT/PKD_channel/"
"Nvec-vc1.1-XM-032385126.2",0.000413418005754309,-0.252651928787081,0.216,0.278,1,"0","Nvec-vc1.1-XM-032385126.2","","PPI_Ypi1/"
"Nvec-vc1.1-XM-032376233.2",0.000424490423279862,-0.276068097245873,0.205,0.266,1,"0","Nvec-vc1.1-XM-032376233.2","","MRP-63/"
"Nvec-vc1.1-XM-032385655.2",0.000446237896340947,0.281484184312197,0.542,0.516,1,"0","Nvec-vc1.1-XM-032385655.2","SEPHS1","AIRS/AIRS_C/"
"Nvec-vc1.1-XM-001638533.3",0.000463273287238664,-0.327851787613345,0.194,0.252,1,"0","Nvec-vc1.1-XM-001638533.3","DDX19A","DEAD/Helicase_C/"
"Nvec-vc1.1-XM-048722689.1",0.000491348015851264,-0.347610590405874,0.221,0.278,1,"0","Nvec-vc1.1-XM-048722689.1","SF3B1","SF3b1/"
"Nvec-vc1.1-XM-001630576.3",0.000505516418970277,-0.277445538854864,0.267,0.329,1,"0","Nvec-vc1.1-XM-001630576.3","WIPI2",""
"Nvec-vc1.1-XM-048728915.1",0.000522351003516706,-0.384152917687867,0.284,0.344,1,"0","Nvec-vc1.1-XM-048728915.1","SMDT1","DDDD/"
"Nvec-v1g183927",0.000549268867306574,-0.390317167058314,0.221,0.27,1,"0","Nvec-v1g183927","DYNLRB2","Robl_LC7/"
"Nvec-vc1.1-XM-001633518.3",0.000573399034764564,-0.297289678072221,0.265,0.326,1,"0","Nvec-vc1.1-XM-001633518.3","ETF1","eRF1_1/eRF1_2/eRF1_3/"
"Nvec-vc1.1-XM-001623107.3",0.000588468972932315,-0.281269624178549,0.27,0.335,1,"0","Nvec-vc1.1-XM-001623107.3","GDF5","TGFb_propeptide/TGF_beta/"
"Nvec-vc1.1-XM-001632421.3",0.000617364143350844,0.311563830239797,0.335,0.284,1,"0","Nvec-vc1.1-XM-001632421.3","RAB10","Ras/"
"Nvec-vc1.1-XM-001630858.3",0.000658096813505561,-0.34339472763438,0.251,0.306,1,"0","Nvec-vc1.1-XM-001630858.3","TNFAIP3","OTU/zf-A20/zf-A20/"
"Nvec-vc1.1-XM-032370467.2",0.000670701344337857,0.313277654648269,0.429,0.385,1,"0","Nvec-vc1.1-XM-032370467.2","SRSF7","RRM_1/zf-CCHC/"
"Nvec-vc1.1-XM-032383062.2",0.000691443109046773,-0.262226647430939,0.205,0.263,1,"0","Nvec-vc1.1-XM-032383062.2","",""
"Nvec-vc1.1-XM-032377962.2",0.000724221179792609,0.322019363790038,0.3,0.253,1,"0","Nvec-vc1.1-XM-032377962.2","PRLHR","7tm_1/"
"Nvec-vc1.1-XM-032379072.2",0.000743140713422837,0.439801127528919,0.252,0.214,1,"0","Nvec-vc1.1-XM-032379072.2","PRKG1","cNMP_binding/cNMP_binding/Pkinase/"
"Nvec-vc1.1-XM-032382893.2",0.000844219682703159,0.309827175674402,0.46,0.436,1,"0","Nvec-vc1.1-XM-032382893.2","CSNK2A1","Pkinase/"
"Nvec-vc1.1-XM-048723124.1",0.000896463535646201,-0.312292600963804,0.2,0.255,1,"0","Nvec-vc1.1-XM-048723124.1","MTHFD1","THF_DHG_CYH/THF_DHG_CYH_C/FTHFS/"
"Nvec-vc1.1-XM-032383881.2",0.000904419372421269,-0.32590003911031,0.215,0.272,1,"0","Nvec-vc1.1-XM-032383881.2","",""
"Nvec-vc1.1-XM-032362392.2",0.000942449836707874,0.433070554498178,0.252,0.209,1,"0","Nvec-vc1.1-XM-032362392.2","CNTNAP2","Laminin_G_2/Laminin_G_2/Laminin_G_2/Laminin_G_2/"
"Nvec-vc1.1-XM-048720045.1",0.000989204073617408,-0.278186520909701,0.198,0.251,1,"0","Nvec-vc1.1-XM-048720045.1","DXO","RAI1/"
"Nvec-vc1.1-XM-032367264.2",0.000991028927099497,-0.281486929577543,0.198,0.256,1,"0","Nvec-vc1.1-XM-032367264.2","SLC6A9","SNF/"
"Nvec-vc1.1-XM-048721466.1",0.000991106961918448,-0.398526813683587,0.211,0.255,1,"0","Nvec-vc1.1-XM-048721466.1","","Hint_2/"
"Nvec-vc1.1-XM-048731783.1",0.00109069454629192,-0.373374602630586,0.307,0.356,1,"0","Nvec-vc1.1-XM-048731783.1","RLRb","CARD_2/DEAD/RIG-I_C/Helicase_C/RIG-I_C-RD/"
"Nvec-vc1.1-XM-001627424.3",0.00111881606845639,-0.250343745675608,0.409,0.489,1,"0","Nvec-vc1.1-XM-001627424.3","FTH1","Ferritin/"
"Nvec-vc1.1-XM-001639798.2",0.00133033438973999,-0.38012433678686,0.274,0.331,1,"0","Nvec-vc1.1-XM-001639798.2","GTF2A2","TFIIA_gamma_N/TFIIA_gamma_C/"
"Nvec-v1g239401",0.00135857948982748,-0.871809359772942,0.284,0.324,1,"0","Nvec-v1g239401","",""
"Nvec-vc1.1-XM-001632044.3",0.00142969723318183,0.272026527907229,0.295,0.247,1,"0","Nvec-vc1.1-XM-001632044.3","ARRDC1","Arrestin_N/Arrestin_C/"
"Nvec-vc1.1-XM-032379062.2",0.00173919743339192,-0.28650817409932,0.483,0.55,1,"0","Nvec-vc1.1-XM-032379062.2","","HAD_2/"
"Nvec-vc1.1-XM-032363059.2",0.001804670124018,0.250362580755056,0.591,0.58,1,"0","Nvec-vc1.1-XM-032363059.2","CHRAC1","CBFD_NFYB_HMF/"
"Nvec-NVE3972",0.00202138205209874,-0.404714529905713,0.223,0.269,1,"0","Nvec-NVE3972","",""
"Nvec-vc1.1-XM-032383741.2",0.00211874169687204,0.263147244489471,0.256,0.209,1,"0","Nvec-vc1.1-XM-032383741.2","CRB1",""
"Nvec-vc1.1-XM-001639307.3",0.00221272208707902,-0.307421557264611,0.317,0.373,1,"0","Nvec-vc1.1-XM-001639307.3","MAFG","bZIP_Maf/"
"Nvec-vc1.1-XM-001641685.3",0.00229711627917382,0.362759216677938,0.256,0.217,1,"0","Nvec-vc1.1-XM-001641685.3","RIBC2","RIB43A/"
"Nvec-vc1.1-XM-032367579.2",0.00249819129837095,0.420142300780233,0.289,0.25,1,"0","Nvec-vc1.1-XM-032367579.2","RBPMS","RRM_1/RRM_1/"
"Nvec-vc1.1-XM-032384850.2",0.0026581067152715,-0.254000559735319,0.422,0.463,1,"0","Nvec-vc1.1-XM-032384850.2","CNDP2","Peptidase_M20/M20_dimer/"
"Nvec-vc1.1-XM-032386833.2",0.00274947553647387,0.439787309307546,0.287,0.251,1,"0","Nvec-vc1.1-XM-032386833.2","IQCD",""
"Nvec-v1g238274",0.00297301924466372,-0.347771429273763,0.269,0.323,1,"0","Nvec-v1g238274","",""
"Nvec-vc1.1-XM-001636522.3",0.0032063959596693,0.315286811783574,0.272,0.229,1,"0","Nvec-vc1.1-XM-001636522.3","MYL1","EF-hand_7/EF-hand_7/"
"Nvec-vc1.1-XM-001635292.3",0.00337330586564986,-0.272404309314979,0.214,0.265,1,"0","Nvec-vc1.1-XM-001635292.3","PITPNA","IP_trans/"
"Nvec-vc1.1-XM-001630751.3",0.0034711992263923,0.388240742025282,0.323,0.287,1,"0","Nvec-vc1.1-XM-001630751.3","KDM8","Cupin_8/"
"Nvec-NVE6437",0.00348094288040787,-0.489494525713395,0.453,0.487,1,"0","Nvec-NVE6437","",""
"Nvec-vc1.1-XM-001636673.3",0.00362737356922956,0.365514546265486,0.323,0.285,1,"0","Nvec-vc1.1-XM-001636673.3","PACRG","ParcG/"
"Nvec-NVE13323",0.00364234117524392,-0.343951898988715,0.38,0.417,1,"0","Nvec-NVE13323","",""
"Nvec-vc1.1-XM-001634353.3",0.0037071754388019,0.380480344939458,0.302,0.272,1,"0","Nvec-vc1.1-XM-001634353.3","GABARAP","Atg8/"
"Nvec-vc1.1-XM-048720326.1",0.00382682610220136,-0.265962009174148,0.205,0.253,1,"0","Nvec-vc1.1-XM-048720326.1","GTPBP1","GTP_EFTU/GTP_EFTU_D2/"
"Nvec-vc1.1-XM-001634441.3",0.00384972232904649,-0.285934201592483,0.239,0.289,1,"0","Nvec-vc1.1-XM-001634441.3","","Usp/"
"Nvec-vc1.1-XM-032363378.2",0.0041085294895853,0.369890097155057,0.256,0.22,1,"0","Nvec-vc1.1-XM-032363378.2","SCRIB","PDZ/PDZ/PDZ/EF-hand_7/"
"Nvec-vc1.1-XM-048731524.1",0.00423794102983531,0.350737525206492,0.26,0.222,1,"0","Nvec-vc1.1-XM-048731524.1","TOR1A","Torsin/"
"Nvec-vc1.1-XM-048733249.1",0.00434633338742388,0.275500515079811,0.302,0.264,1,"0","Nvec-vc1.1-XM-048733249.1","LMO7","CH/LIM/"
"Nvec-vc1.1-XM-032370843.2",0.00468666343865188,0.411560765525937,0.264,0.231,1,"0","Nvec-vc1.1-XM-032370843.2","SYT11","C2/"
"Nvec-vc1.1-XM-001638182.3",0.00478931300682595,-0.722628394266547,0.37,0.389,1,"0","Nvec-vc1.1-XM-001638182.3","","CBM_14/CBM_14/CBM_14/CBM_14/CBM_14/CBM_14/CBM_14/"
"Nvec-vc1.1-XM-001630259.3",0.00590463379534391,0.354853901053014,0.305,0.277,1,"0","Nvec-vc1.1-XM-001630259.3","H4C1","CENP-T_C/"
"Nvec-vc1.1-XM-032382489.2",0.00637794238479922,0.333906008211588,0.319,0.288,1,"0","Nvec-vc1.1-XM-032382489.2","ACTN4","CH/CH/Spectrin/Spectrin/Spectrin/Spectrin/EFhand_Ca_insen/"
"Nvec-v1g83142",0.00647956492418596,-0.254263170446689,0.211,0.255,1,"0","Nvec-v1g83142","SDHAF1","Complex1_LYR/"
"Nvec-vc1.1-XM-001627997.3",0.00683251624889466,-0.25530904896021,0.82,0.806,1,"0","Nvec-vc1.1-XM-001627997.3","SNRPD1","LSM/"
"Nvec-vc1.1-XM-032380552.2",0.00809615466749898,0.282718718744948,0.322,0.288,1,"0","Nvec-vc1.1-XM-032380552.2","DVL1","DIX/Dishevelled/PDZ/DEP/Dsh_C/"
"Nvec-vc1.1-XM-032370147.2",0.00820141925374601,0.305596061902989,0.267,0.227,1,"0","Nvec-vc1.1-XM-032370147.2","",""
"Nvec-vc1.1-XM-048732631.1",0.00844591979233257,-0.370057974750938,0.225,0.261,1,"0","Nvec-vc1.1-XM-048732631.1","",""
"Nvec-NVE13257",0.00874191017363562,-0.38468247194024,0.983,0.945,1,"0","Nvec-NVE13257","",""
"Nvec-vc1.1-XM-048721953.1",0.00876557072924321,-0.285001966831507,0.548,0.602,1,"0","Nvec-vc1.1-XM-048721953.1","TTC28","TPR_12/TPR_12/TPR_12/TPR_12/TPR_12/CHAT/"
"Nvec-vc1.1-XM-001622708.3",0.00881058430054108,0.333710472183632,0.395,0.37,1,"0","Nvec-vc1.1-XM-001622708.3","TAF12","TFIID_20kDa/"
"Nvec-vc1.1-XM-001636807.3",4.43504271929529e-206,-3.53500264046317,0.247,0.857,7.33334313635476e-202,"1","Nvec-vc1.1-XM-001636807.3","CNFN","PLAC8/"
"Nvec-vc1.1-XM-048728987.1",2.87170159254649e-193,-1.45140341741635,0.945,0.998,4.74835858327562e-189,"1","Nvec-vc1.1-XM-048728987.1","",""
"Nvec-vc1.1-XM-048728848.1",5.77979237247878e-188,4.11572392225371,0.475,0.048,9.55688668789366e-184,"1","Nvec-vc1.1-XM-048728848.1","MYOF","C2/C2/FerI/C2/FerB/C2/C2/C2/C2/Ferlin_C/"
