"","Nvec","classification","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","protein","domain"
"1265","Nvec_vc1.1_XM_001633405.3","Nematostella-specific","Nvec-vc1.1-XM-001633405.3",9.22358388963211e-33,-0.882308754850519,0.107,0.199,1.52511959615067e-28,"C7orf31","DUF4555/"
"1266","Nvec_vc1.1_XM_001633417.3","Nematostella-specific","Nvec-vc1.1-XM-001633417.3",1.24571100204769e-136,-1.22192506161115,0.226,0.469,2.05978314188585e-132,"C2orf76","DUF2340/"
"1267","Nvec_vc1.1_XM_001633424.3","Nematostella-specific","Nvec-vc1.1-XM-001633424.3",4.39141193400052e-96,-1.18112240007516,0.175,0.37,7.26119963286986e-92,"C7orf31","DUF4555/"
"1268","Nvec_vc1.1_XM_001633450.3","Nematostella-specific","Nvec-vc1.1-XM-001633450.3",6.239802297199e-81,0.281733562568162,0.998,0.997,1.03175130984186e-76,"RPS27","Ribosomal_S27e/"
"1269","Nvec_vc1.1_XM_001633454.3","Conserved","Nvec-vc1.1-XM-001633454.3",3.38718702860829e-11,-0.63133484242537,0.087,0.133,5.60071375180381e-07,"OSBP","Oxysterol_BP/"
"1270","Nvec_vc1.1_XM_001633456.3","Divergent","Nvec-vc1.1-XM-001633456.3",6.08527703568916e-53,-0.582947986746153,0.422,0.579,1.0062005578512e-48,"RER1","Rer1/"
"1271","Nvec_vc1.1_XM_001633459.3","Divergent","Nvec-vc1.1-XM-001633459.3",1.02745525795329e-12,-2.91484271899891,0.002,0.016,1.69889726902576e-08,"",""
"1272","Nvec_vc1.1_XM_001633465.3","Nematostella-specific","Nvec-vc1.1-XM-001633465.3",4.17030072508094e-18,-0.584280267870696,0.14,0.211,6.89559224892133e-14,"MIF4GD","MIF4G/"
"1273","Nvec_vc1.1_XM_001633470.3","Nematostella-specific","Nvec-vc1.1-XM-001633470.3",1.03944305839393e-23,-3.04691644694954,0.005,0.035,1.71871909705437e-19,"",""
"1274","Nvec_vc1.1_XM_001633477.3","Nematostella-specific","Nvec-vc1.1-XM-001633477.3",5.88520457937513e-134,-0.801445212247452,0.528,0.739,9.73118577199678e-130,"ANP32A","LRR_9/"
"1275","Nvec_vc1.1_XM_001633478.3","Nematostella-specific","Nvec-vc1.1-XM-001633478.3",3.21098568397101e-36,-0.468181972955967,0.375,0.507,5.30936482844607e-32,"GNAQ","G-alpha/"
"1276","Nvec_vc1.1_XM_001633480.3","Conserved","Nvec-vc1.1-XM-001633480.3",1.01036082257478e-13,-0.738483259431953,0.08,0.129,1.67063162012739e-09,"CORO2A","DUF1899/WD40/WD40/WD40_4/"
"1277","Nvec_vc1.1_XM_001633482.3","Nematostella-specific","Nvec-vc1.1-XM-001633482.3",2.98112086926914e-142,-0.544787539710807,0.854,0.924,4.92928335733653e-138,"YBX3","CSD/"
"1278","Nvec_vc1.1_XM_001633484.3","Conserved","Nvec-vc1.1-XM-001633484.3",7.81359799796361e-13,-0.814961315848008,0.075,0.118,1.29197842896328e-08,"RBPJ","LAG1-DNAbind/BTD/"
"1279","Nvec_vc1.1_XM_001633494.3","Nematostella-specific","Nvec-vc1.1-XM-001633494.3",9.39940490559128e-46,1.93916229635751,0.09,0.026,1.55419160113952e-41,"","DDE_1/"
"1280","Nvec_vc1.1_XM_001633505.3","Nematostella-specific","Nvec-vc1.1-XM-001633505.3",7.73343490672759e-20,-0.754265981774365,0.101,0.168,1.27872346182741e-15,"YEATS4","YEATS/"
"1281","Nvec_vc1.1_XM_001633509.3","Divergent","Nvec-vc1.1-XM-001633509.3",2.53449809100035e-12,-0.818492683045738,0.053,0.094,4.19079259346908e-08,"SDR16C5","adh_short/"
"1282","Nvec_vc1.1_XM_001633510.3","Conserved","Nvec-vc1.1-XM-001633510.3",4.15045879729668e-153,4.0889094158622,0.147,0.016,6.86278362133007e-149,"MARCHF1","RINGv/"
"1283","Nvec_vc1.1_XM_001633543.3","Divergent","Nvec-vc1.1-XM-001633543.3",4.58501096180271e-09,1.10505683843879,0.039,0.018,7.58131562534078e-05,"","WBP-1/"
"1284","Nvec_vc1.1_XM_001633558.3","Conserved","Nvec-vc1.1-XM-001633558.3",3.73957957263123e-09,-0.901309563345219,0.032,0.059,6.18339482334574e-05,"SLC7A9","AA_permease_2/"
"1285","Nvec_vc1.1_XM_001633567.3","Nematostella-specific","Nvec-vc1.1-XM-001633567.3",2.38979804297396e-18,-0.67674621491502,0.095,0.157,3.95153106405744e-14,"",""
"1286","Nvec_vc1.1_XM_001633581.3","Conserved","Nvec-vc1.1-XM-001633581.3",2.23403128159917e-08,0.508677067053437,0.146,0.108,0.000369397072412423,"MYLIP","FERM_N/FERM_M/zf-C3HC4_3/"
"1287","Nvec_vc1.1_XM_001633584.3","Nematostella-specific","Nvec-vc1.1-XM-001633584.3",3.16661241156806e-55,-1.09463306215466,0.125,0.255,5.23599362252779e-51,"PYURF","Trm112p/"
"1288","Nvec_vc1.1_XM_001633588.3","Divergent","Nvec-vc1.1-XM-001633588.3",4.2807308629943e-112,-0.617974333828041,0.567,0.773,7.07818848196108e-108,"EIF2S2","eIF-5_eIF-2B/"
"1289","Nvec_vc1.1_XM_001633594.3","Divergent","Nvec-vc1.1-XM-001633594.3",1.15537235762399e-08,-0.671932933573563,0.056,0.09,0.000191040819333127,"TMX3","Thioredoxin/Thioredoxin_6/"
"1290","Nvec_vc1.1_XM_001633595.3","Conserved","Nvec-vc1.1-XM-001633595.3",6.36802369810895e-09,-0.704438648201529,0.059,0.092,0.000105295271848231,"CCDC102B","Myosin_tail_1/"
"1291","Nvec_vc1.1_XM_001633615.3","Nematostella-specific","Nvec-vc1.1-XM-001633615.3",4.94699556637825e-25,-0.583246490112459,0.173,0.265,8.17985716900644e-21,"TMEM189","TMEM189_B_dmain/"
"1292","Nvec_vc1.1_XM_001633623.3","Divergent","Nvec-vc1.1-XM-001633623.3",1.3675571647936e-40,-0.687759471779179,0.23,0.36,2.26125577198621e-36,"GAS8","GAS/"
"1293","Nvec_vc1.1_XM_001633630.3","Nematostella-specific","Nvec-vc1.1-XM-001633630.3",2.99731927481269e-39,-1.32265177257791,0.057,0.142,4.95606742090278e-35,"FAM92A","FAM92/"
"1294","Nvec_vc1.1_XM_001633638.3","Nematostella-specific","Nvec-vc1.1-XM-001633638.3",1.76506800672386e-140,-1.11600288513968,0.27,0.523,2.9185399491179e-136,"ENY2","EnY2/"
"1295","Nvec_vc1.1_XM_001633639.3","Nematostella-specific","Nvec-vc1.1-XM-001633639.3",5.20704202576753e-12,-0.123799646422266,0.669,0.737,8.60984398960662e-08,"RAB5IF","Rab5ip/"
"1296","Nvec_vc1.1_XM_001633640.3","Conserved","Nvec-vc1.1-XM-001633640.3",3.03352049047442e-11,-3.05383586088933,0.004,0.017,5.01592613099945e-07,"FAM167A",""
"1297","Nvec_vc1.1_XM_001633643.3","Nematostella-specific","Nvec-vc1.1-XM-001633643.3",2.00017327808175e-37,3.24502861777948,0.041,0.006,3.30728651530817e-33,"NBN","FHA/BRCT/NIBRIN_BRCT_II/Nbs1_C/"
"1298","Nvec_vc1.1_XM_001633659.3","Nematostella-specific","Nvec-vc1.1-XM-001633659.3",5.20399895218069e-13,-1.01555728091156,0.037,0.073,8.60481226743077e-09,"LIPF","Abhydro_lipase/"
"1299","Nvec_vc1.1_XM_001633718.3","Divergent","Nvec-vc1.1-XM-001633718.3",6.65530088156954e-12,-0.542267639841783,0.113,0.166,1.10045400076752e-07,"","MDM1/MDM1/"
"1300","Nvec_vc1.1_XM_001633733.3","Nematostella-specific","Nvec-vc1.1-XM-001633733.3",1.80141741114013e-12,-1.37339552585372,0.016,0.042,2.97864368932021e-08,"",""
"1301","Nvec_vc1.1_XM_001633749.3","Conserved","Nvec-vc1.1-XM-001633749.3",8.48312735749315e-07,-1.26276602241922,0.019,0.035,0.0140268510856149,"ECE2","Peptidase_M13_N/Peptidase_M13/"
"1302","Nvec_vc1.1_XM_001633750.3","Divergent","Nvec-vc1.1-XM-001633750.3",1.54888825769591e-18,-0.627750654737227,0.104,0.169,2.56108673410018e-14,"RRP8","Methyltransf_8/"
"1303","Nvec_vc1.1_XM_001633751.3","Nematostella-specific","Nvec-vc1.1-XM-001633751.3",1.20893490493305e-24,-0.851986357143531,0.1,0.176,1.9989738653068e-20,"AGK","Tim54/DAGK_cat/"
"1304","Nvec_vc1.1_XM_001633753.3","Divergent","Nvec-vc1.1-XM-001633753.3",2.51338064671099e-67,-0.980596817738821,0.191,0.352,4.15587489933661e-63,"NGLY1","PUB/"
"1305","Nvec_vc1.1_XM_001633756.3","Nematostella-specific","Nvec-vc1.1-XM-001633756.3",8.3069584303467e-10,-0.589777842230933,0.084,0.126,1.37355557645783e-05,"PPME1","Abhydrolase_6/"
"1306","Nvec_vc1.1_XM_001633762.3","Conserved","Nvec-vc1.1-XM-001633762.3",6.06239211940464e-60,-0.257875840042736,0.985,0.99,1.00241653694356e-55,"HMGB3","HMG_box/HMG_box/"
"1307","Nvec_vc1.1_XM_001633770.3","Nematostella-specific","Nvec-vc1.1-XM-001633770.3",2.39753153171848e-31,-1.77329398319103,0.029,0.085,3.96431838769651e-27,"ARL6IP5","PRA1/"
"1308","Nvec_vc1.1_XM_001633777.3","Nematostella-specific","Nvec-vc1.1-XM-001633777.3",1.23920844896626e-26,-0.367068298705288,0.395,0.509,2.04903117036571e-22,"HARS1","tRNA-synt_His/HGTP_anticodon/"
"1309","Nvec_vc1.1_XM_001633783.3","Conserved","Nvec-vc1.1-XM-001633783.3",3.02245317687774e-47,5.43130161330927,0.032,0.001,4.99762632796735e-43,"SDR9C7","adh_short/"
"1310","Nvec_vc1.1_XM_001633785.3","Conserved","Nvec-vc1.1-XM-001633785.3",4.75153983507971e-11,-0.753720980942939,0.058,0.097,7.85667111730429e-07,"PHYH","PhyH/"
"1311","Nvec_vc1.1_XM_001633789.3","Nematostella-specific","Nvec-vc1.1-XM-001633789.3",9.0926659897693e-83,-1.03801304144914,0.183,0.365,1.50347232140835e-78,"TUSC2","TUSC2/"
"1312","Nvec_vc1.1_XM_001633796.3","Nematostella-specific","Nvec-vc1.1-XM-001633796.3",1.77329271366025e-96,5.49964677770742,0.066,0.002,2.93213950203722e-92,"TLL1","Astacin/CUB/CUB/FXa_inhibition/CUB/FXa_inhibition/CUB/CUB/"
"1313","Nvec_vc1.1_XM_001633797.3","Nematostella-specific","Nvec-vc1.1-XM-001633797.3",4.46548900379101e-135,0.328911907457923,0.997,0.996,7.38368606776843e-131,"RPS3A","Ribosomal_S3Ae/"
"1314","Nvec_vc1.1_XM_001633798.3","Nematostella-specific","Nvec-vc1.1-XM-001633798.3",4.18595797452681e-11,2.06396305873197,0.021,0.006,6.92148151088008e-07,"TPP1","Pro-kuma_activ/Peptidase_S8/"
"1315","Nvec_vc1.1_XM_001633799.3","Nematostella-specific","Nvec-vc1.1-XM-001633799.3",1.17804215698982e-19,-2.97478525945519,0.005,0.03,1.94789270658266e-15,"CAV1","Caveolin/"
"1316","Nvec_vc1.1_XM_001633801.3","Nematostella-specific","Nvec-vc1.1-XM-001633801.3",9.18897624501925e-127,-1.09375526148785,0.257,0.496,1.51939722211393e-122,"SLC25A20","Mito_carr/Mito_carr/Mito_carr/"
"1317","Nvec_vc1.1_XM_001633803.3","Nematostella-specific","Nvec-vc1.1-XM-001633803.3",1.55946796364754e-13,-2.58786139638526,0.003,0.02,2.57858027789121e-09,"",""
"1318","Nvec_vc1.1_XM_001633805.3","Conserved","Nvec-vc1.1-XM-001633805.3",2.70378418262508e-14,1.24119675618845,0.04,0.015,4.47070714597057e-10,"DRAM1","Frag1/"
"1319","Nvec_vc1.1_XM_001633814.2","Nematostella-specific","Nvec-vc1.1-XM-001633814.2",5.28023709498493e-30,-0.708321288921701,0.586,0.546,8.73087203655757e-26,"",""
"1320","Nvec_vc1.1_XM_001633819.3","Conserved","Nvec-vc1.1-XM-001633819.3",3.35530006980097e-58,-2.68677427495599,0.081,0.146,5.5479886654159e-54,"ID4","HLH/"
"1321","Nvec_vc1.1_XM_001633831.3","Conserved","Nvec-vc1.1-XM-001633831.3",3.46692711870664e-07,-0.939498999323559,0.023,0.043,0.00573256399078143,"PTGR2","ADH_N_2/ADH_zinc_N/"
"1322","Nvec_vc1.1_XM_001633835.3","Conserved","Nvec-vc1.1-XM-001633835.3",7.64157829366441e-13,0.336447646713464,0.329,0.288,1.26353497085741e-08,"ACTR3","Actin/"
"1323","Nvec_vc1.1_XM_001633845.3","Conserved","Nvec-vc1.1-XM-001633845.3",0,2.58102465356461,0.757,0.471,0,"CASP3","CARD/Peptidase_C14/"
"1324","Nvec_vc1.1_XM_001633846.3","Nematostella-specific","Nvec-vc1.1-XM-001633846.3",5.11432136918744e-22,-0.780619646649798,0.102,0.174,8.45653038395143e-18,"BMPR1B","Activin_recp/TGF_beta_GS/Pkinase_Tyr/"
"1325","Nvec_vc1.1_XM_001633850.3","Nematostella-specific","Nvec-vc1.1-XM-001633850.3",1.61361919867462e-46,-0.838348656871271,0.176,0.306,2.66811934500848e-42,"CEP19","CEP19/"
"1326","Nvec_vc1.1_XM_001633853.3","Nematostella-specific","Nvec-vc1.1-XM-001633853.3",3.36105510534977e-46,-1.88403157191338,0.032,0.109,5.55750461669585e-42,"IDH1","Iso_dh/"
"1327","Nvec_vc1.1_XM_001633854.3","Nematostella-specific","Nvec-vc1.1-XM-001633854.3",1.32393274623837e-08,1.51372793593363,0.02,0.007,0.000218912279590515,"GABBR2","ANF_receptor/ANF_receptor/7tm_3/"
"1328","Nvec_vc1.1_XM_001633865.3","Divergent","Nvec-vc1.1-XM-001633865.3",4.09870554807753e-23,-0.426085760279922,0.36,0.463,6.77720962374619e-19,"TXNL1","Thioredoxin/PITH/"
"1329","Nvec_vc1.1_XM_001633872.3","Nematostella-specific","Nvec-vc1.1-XM-001633872.3",3.91075084059926e-30,-0.553822157739518,0.24,0.352,6.46642651493087e-26,"CETN3","EF-hand_7/EF-hand_7/"
"1330","Nvec_vc1.1_XM_001633882.3","Nematostella-specific","Nvec-vc1.1-XM-001633882.3",6.5870352521717e-16,1.84164232588672,0.033,0.01,1.08916627894659e-11,"FMO2","FMO-like/"
"1331","Nvec_vc1.1_XM_001633887.3","Divergent","Nvec-vc1.1-XM-001633887.3",4.80309197698278e-74,7.30946049037448,0.047,0.001,7.94191258394103e-70,"",""
"1332","Nvec_vc1.1_XM_001633897.3","Conserved","Nvec-vc1.1-XM-001633897.3",1.38079429630544e-19,-0.808028399320117,0.091,0.155,2.28314336894104e-15,"DDO","DAO/"
"1333","Nvec_vc1.1_XM_001633925.3","Nematostella-specific","Nvec-vc1.1-XM-001633925.3",5.31029082337878e-52,-0.744607522501077,0.214,0.361,8.78056587645681e-48,"SUPT4H1","Spt4/"
"1334","Nvec_vc1.1_XM_001633929.3","Nematostella-specific","Nvec-vc1.1-XM-001633929.3",3.2174915490231e-85,-0.746634824605091,0.432,0.618,5.3201222763097e-81,"RANBP1","Ran_BP1/"
"1335","Nvec_vc1.1_XM_001633935.3","Conserved","Nvec-vc1.1-XM-001633935.3",1.97292382968992e-16,-3.56875257343756,0.003,0.023,3.26222955239228e-12,"TFPI","Kunitz_BPTI/Kunitz_BPTI/"
"1336","Nvec_vc1.1_XM_001633938.3","Nematostella-specific","Nvec-vc1.1-XM-001633938.3",4.53098374096706e-10,-0.675192308241524,0.068,0.106,7.49198161568903e-06,"MB21D2","Mab-21/"
"1337","Nvec_vc1.1_XM_001633988.3","Nematostella-specific","Nvec-vc1.1-XM-001633988.3",5.21966380012411e-179,4.18337409986569,0.142,0.009,8.63071409350521e-175,"TENT2","TUTase/PAP_assoc/"
"1338","Nvec_vc1.1_XM_001634008.3","Conserved","Nvec-vc1.1-XM-001634008.3",9.74229205343742e-23,-0.984179061630158,0.07,0.134,1.61088799103588e-18,"RNF41","zf-C3HC4_2/zf-TRAF/"
"1339","Nvec_vc1.1_XM_001634013.3","Nematostella-specific","Nvec-vc1.1-XM-001634013.3",3.18645511310232e-07,0.245080890285901,0.245,0.227,0.00526880352951469,"","Cupin_8/"
"1340","Nvec_vc1.1_XM_001634020.3","Nematostella-specific","Nvec-vc1.1-XM-001634020.3",3.92387836125391e-31,-1.00614196626347,0.074,0.153,6.48813287033334e-27,"ISOC1","Isochorismatase/"
"1341","Nvec_vc1.1_XM_001634024.3","Nematostella-specific","Nvec-vc1.1-XM-001634024.3",2.85592136070119e-46,1.23367786685381,0.169,0.08,4.72226596991941e-42,"PIK3CB","PI3K_p85B/PI3K_rbd/PI3K_C2/PI3Ka/PI3_PI4_kinase/"
"1342","Nvec_vc1.1_XM_001634026.3","Nematostella-specific","Nvec-vc1.1-XM-001634026.3",1.41872508155418e-07,-0.276996376085769,0.227,0.278,0.00234586192234983,"ETHE1","Lactamase_B/"
"1343","Nvec_vc1.1_XM_001634030.3","Nematostella-specific","Nvec-vc1.1-XM-001634030.3",4.67349941444926e-10,-0.683011812700824,0.066,0.104,7.72763128179185e-06,"UTP14C","Utp14/"
"1344","Nvec_vc1.1_XM_001634035.3","Divergent","Nvec-vc1.1-XM-001634035.3",4.13518592210413e-08,-0.117576614564892,0.13,0.155,0.000683752992219919,"CHMP2B","Snf7/"
"1345","Nvec_vc1.1_XM_001634049.3","Nematostella-specific","Nvec-vc1.1-XM-001634049.3",1.26539633648539e-42,-0.42929678903721,0.484,0.625,2.09233284237859e-38,"MYCBP",""
"1346","Nvec_vc1.1_XM_001634053.3","Nematostella-specific","Nvec-vc1.1-XM-001634053.3",3.69793566849536e-20,-0.693126191345891,0.102,0.17,6.11453662785708e-16,"SOD1","Sod_Cu/Sod_Cu/"
"1347","Nvec_vc1.1_XM_001634064.3","Nematostella-specific","Nvec-vc1.1-XM-001634064.3",4.86970361935874e-70,-0.7025478793152,0.382,0.559,8.05205493460967e-66,"TMED7","EMP24_GP25L/"
"1348","Nvec_vc1.1_XM_001634073.3","Divergent","Nvec-vc1.1-XM-001634073.3",1.1822747377987e-09,-0.694916970699168,0.046,0.078,1.95489127895015e-05,"TTLL2","TTL/"
"1349","Nvec_vc1.1_XM_001634074.3","Conserved","Nvec-vc1.1-XM-001634074.3",8.34048875648045e-08,-0.70824973908952,0.041,0.069,0.00137909981588404,"","IU_nuc_hydro/"
"1350","Nvec_vc1.1_XM_001634077.3","Divergent","Nvec-vc1.1-XM-001634077.3",1.01087402744004e-53,-0.918346071397809,0.175,0.315,1.67148020437211e-49,"FDX1","Fer2/"
"1351","Nvec_vc1.1_XM_001634079.3","Nematostella-specific","Nvec-vc1.1-XM-001634079.3",1.95230508985617e-106,2.50226349016486,0.142,0.026,3.22813646607718e-102,"","Acetyltransf_10/"
"1352","Nvec_vc1.1_XM_001634081.3","Conserved","Nvec-vc1.1-XM-001634081.3",2.11218942502206e-183,-1.64178532902233,0.159,0.434,3.49250521427398e-179,"KDM1B","Amino_oxidase/"
"1353","Nvec_vc1.1_XM_001634099.3","Nematostella-specific","Nvec-vc1.1-XM-001634099.3",8.24770936331928e-20,-0.769726011139102,0.104,0.171,1.36375874322484e-15,"NXN","Thioredoxin_8/Thioredoxin_8/CbiG_mid/"
"1354","Nvec_vc1.1_XM_001634103.3","Nematostella-specific","Nvec-vc1.1-XM-001634103.3",8.57179050401803e-08,-0.793962143049642,0.029,0.053,0.00141734555983938,"PRR11",""
"1355","Nvec_vc1.1_XM_001634104.3","Nematostella-specific","Nvec-vc1.1-XM-001634104.3",9.06380319406987e-14,-1.00449656475417,0.032,0.067,1.49869985813945e-09,"IBA57","GCV_T/"
"1356","Nvec_vc1.1_XM_001634105.3","Nematostella-specific","Nvec-vc1.1-XM-001634105.3",1.35746880345919e-28,-1.1338965628917,0.062,0.133,2.24457466651978e-24,"","DUF3128/"
"1357","Nvec_vc1.1_XM_001634106.3","Nematostella-specific","Nvec-vc1.1-XM-001634106.3",2.899619845031e-09,-0.704110590123034,0.05,0.083,4.79452141375875e-05,"ALKBH2","2OG-FeII_Oxy_2/"
"1358","Nvec_vc1.1_XM_001634109.3","Nematostella-specific","Nvec-vc1.1-XM-001634109.3",2.44749379265945e-07,0.707398748040019,0.069,0.043,0.0040469309861624,"HCRTR2","7tm_1/"
"1359","Nvec_vc1.1_XM_001634111.3","Conserved","Nvec-vc1.1-XM-001634111.3",3.35388249511668e-27,-1.16700703961379,0.074,0.144,5.54564470567544e-23,"FOXD3","Forkhead/"
"1360","Nvec_vc1.1_XM_001634113.3","Nematostella-specific","Nvec-vc1.1-XM-001634113.3",2.46570900081709e-13,-0.666143504525485,0.09,0.141,4.07704983285106e-09,"","Exo_endo_phos/"
"1361","Nvec_vc1.1_XM_001634116.3","Nematostella-specific","Nvec-vc1.1-XM-001634116.3",5.60367945348243e-25,-0.467282326924277,0.286,0.391,9.26568397633319e-21,"ARX","Homeodomain/OAR/"
"1362","Nvec_vc1.1_XM_001634121.3","Divergent","Nvec-vc1.1-XM-001634121.3",9.75317405433593e-08,-0.597693346734798,0.077,0.11,0.00161268732988445,"PGM3","PGM_PMM_I/PGM_PMM_I/PGM_PMM_IV/"
"1363","Nvec_vc1.1_XM_001634134.3","Nematostella-specific","Nvec-vc1.1-XM-001634134.3",9.96924730138548e-81,-1.20527687189056,0.144,0.311,1.64841504128409e-76,"TXNDC17","DUF953/"
"1364","Nvec_vc1.1_XM_001634135.3","Nematostella-specific","Nvec-vc1.1-XM-001634135.3",9.46653696299251e-07,-0.507363179996336,0.077,0.109,0.0156529188683081,"ZNHIT2","zf-HIT/"
"1365","Nvec_vc1.1_XM_001634155.3","Conserved","Nvec-vc1.1-XM-001634155.3",5.34526419218863e-38,-0.336831624493445,0.751,0.821,8.8383943417839e-34,"IDH2","Iso_dh/"
"1366","Nvec_vc1.1_XM_001634160.3","Nematostella-specific","Nvec-vc1.1-XM-001634160.3",2.10899979026418e-99,-1.29537963316063,0.158,0.352,3.48723115320182e-95,"RAX","Homeodomain/OAR/"
"1367","Nvec_vc1.1_XM_001634174.3","Conserved","Nvec-vc1.1-XM-001634174.3",5.98016795542656e-11,-1.2308955071322,0.02,0.045,9.88820771429782e-07,"PGAP3","Per1/"
"1368","Nvec_vc1.1_XM_001634196.3","Nematostella-specific","Nvec-vc1.1-XM-001634196.3",3.60116727359797e-89,-0.903808287883784,0.297,0.495,5.95453008689424e-85,"AP2S1","Clat_adaptor_s/"
"1369","Nvec_vc1.1_XM_001634203.3","Conserved","Nvec-vc1.1-XM-001634203.3",7.91813718730887e-14,1.76449605758524,0.031,0.01,1.30926398392152e-09,"RHOBTB1","Ras/BTB/BTB/"
"1370","Nvec_vc1.1_XM_001634215.3","Conserved","Nvec-vc1.1-XM-001634215.3",2.99558266193692e-19,-1.09829357701195,0.047,0.096,4.95319593151269e-15,"RBBP9","Ser_hydrolase/"
"1371","Nvec_vc1.1_XM_001634221.3","Nematostella-specific","Nvec-vc1.1-XM-001634221.3",2.95963363617671e-16,-1.78883483408681,0.009,0.035,4.89375421741818e-12,"OXNAD1","NAD_binding_1/"
"1372","Nvec_vc1.1_XM_001634239.3","Conserved","Nvec-vc1.1-XM-001634239.3",3.26460516815148e-50,-0.762889817598708,0.219,0.363,5.39802464553848e-46,"GATAD1",""
"1373","Nvec_vc1.1_XM_001634241.3","Nematostella-specific","Nvec-vc1.1-XM-001634241.3",8.73758414069972e-34,-0.584973341164941,0.252,0.372,1.4447595376647e-29,"SPAG6","Arm/Arm/Arm/"
"1374","Nvec_vc1.1_XM_001634253.3","Conserved","Nvec-vc1.1-XM-001634253.3",7.29912190217559e-11,-0.59151640314017,0.138,0.182,1.20690980652473e-06,"DKK1","Dickkopf_N/"
"1375","Nvec_vc1.1_XM_001634267.3","Conserved","Nvec-vc1.1-XM-001634267.3",9.56097605489013e-233,7.2093929120246,0.148,0.003,1.58090739067608e-228,"VWA7",""
"1376","Nvec_vc1.1_XM_001634277.3","Nematostella-specific","Nvec-vc1.1-XM-001634277.3",5.10315616949246e-44,-0.722737502721264,0.225,0.359,8.43806872625579e-40,"ZMAT2","zf-C2H2_jaz/"
"1377","Nvec_vc1.1_XM_001634286.3","Conserved","Nvec-vc1.1-XM-001634286.3",0,5.24726131625071,0.356,0.015,0,"ADGRV1","Vitellogenin_N/"
"1378","Nvec_vc1.1_XM_001634289.3","Nematostella-specific","Nvec-vc1.1-XM-001634289.3",1.03980531660394e-25,-0.550574695178429,0.23,0.331,1.71931809100462e-21,"CAMK4","Pkinase/"
"1379","Nvec_vc1.1_XM_001634293.3","Nematostella-specific","Nvec-vc1.1-XM-001634293.3",2.60611181717925e-17,-0.893485157353346,0.06,0.112,4.30920588970589e-13,"TBCA","TBCA/"
"1380","Nvec_vc1.1_XM_001634328.3","Nematostella-specific","Nvec-vc1.1-XM-001634328.3",4.20192435312306e-34,-7.28640158161087,0,0.03,6.94788191788897e-30,"NR2F1","zf-C4/Hormone_recep/"
"1381","Nvec_vc1.1_XM_001634335.3","Conserved","Nvec-vc1.1-XM-001634335.3",2.87934389679357e-18,-0.914842718998911,0.059,0.112,4.76099513334816e-14,"",""
"1382","Nvec_vc1.1_XM_001634348.3","Nematostella-specific","Nvec-vc1.1-XM-001634348.3",3.43636241224756e-07,-0.455411100361614,0.093,0.129,0.00568202524865134,"STAU1","dsrm/dsrm/"
"1383","Nvec_vc1.1_XM_001634353.3","Conserved","Nvec-vc1.1-XM-001634353.3",8.40460774772054e-24,0.542111396032143,0.288,0.231,1.38970189108559e-19,"GABARAP","Atg8/"
"1384","Nvec_vc1.1_XM_001634358.3","Nematostella-specific","Nvec-vc1.1-XM-001634358.3",8.50085175899307e-97,-0.840048241900466,0.353,0.562,1.4056158383495e-92,"PSMB6","Proteasome/"
"1385","Nvec_vc1.1_XM_001634359.3","Nematostella-specific","Nvec-vc1.1-XM-001634359.3",1.29833066262809e-22,-0.763264010037254,0.118,0.193,2.14678975065554e-18,"",""
"1386","Nvec_vc1.1_XM_001634360.3","Nematostella-specific","Nvec-vc1.1-XM-001634360.3",1.0399239905367e-75,-1.24630226584359,0.183,0.341,1.71951431835243e-71,"SLC35C1","TPT/"
"1387","Nvec_vc1.1_XM_001634361.2","Nematostella-specific","Nvec-vc1.1-XM-001634361.2",1.29450189472791e-112,-0.840755002211644,0.401,0.622,2.14045888293259e-108,"PHB2","Band_7/"
"1388","Nvec_vc1.1_XM_001634370.3","Nematostella-specific","Nvec-vc1.1-XM-001634370.3",4.4710845890396e-07,-0.566089287050177,0.066,0.097,0.00739293836797698,"SLC25A44","Mito_carr/Mito_carr/Mito_carr/"
"1389","Nvec_vc1.1_XM_001634373.3","Conserved","Nvec-vc1.1-XM-001634373.3",9.45052682634542e-43,-0.898420486235286,0.158,0.277,1.56264461073622e-38,"SRM","Spermine_synt_N/Spermine_synth/"
"1390","Nvec_vc1.1_XM_001634396.3","Nematostella-specific","Nvec-vc1.1-XM-001634396.3",4.61484437063161e-23,-0.428966356087991,0.326,0.428,7.63064516683936e-19,"VAMP3","Synaptobrevin/"
"1391","Nvec_vc1.1_XM_001634398.3","Nematostella-specific","Nvec-vc1.1-XM-001634398.3",1.69442855647134e-30,-0.587861396385264,0.203,0.311,2.80173761812536e-26,"BCL9",""
"1392","Nvec_vc1.1_XM_001634425.3","Nematostella-specific","Nvec-vc1.1-XM-001634425.3",5.34396255721415e-26,-0.911241359603363,0.083,0.157,8.83624208835359e-22,"PPIH","Pro_isomerase/"
"1393","Nvec_vc1.1_XM_001634430.3","Nematostella-specific","Nvec-vc1.1-XM-001634430.3",4.78402250322623e-133,-0.877708472588528,0.382,0.631,7.91038120908456e-129,"SF3B4","RRM_1/RRM_1/"
